LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,TYPE_IMG,TYPE_NAME,STATUS_NAME,ROT
8.8713398,-79.460091,0,,28,3,MXZLO>PABLB,SG,334,EVER LUCENT,7,728105,45,229,23,103891,11,,,,0
46.201996,-123.82294,4,127,83,3,CNRZH>>USKAM,SG,229,PRABHU SHAKTI,7,725007,32,202,14,83690,6,,,,0
41.859261,-29.338293,161,294,295,1,USNYC,LR,300,MSC NIOVI VIII,7,151672,42,227,13,106698,11,,,,4
64.997124,-24.195408,101,342,342,1,ISAFJORDUR,IS,45,KEILIR,8,5796183,9,36,4,778,71,,,,
9.0216665,-40.463333,120,284,,13,,,,[SAT-AIS],8,TlRNNE16Y3hOVE00TXpjeE5UTTRNdz09LUVPdkZBQWFlOTkvWTlzbUxxcDZySnc9PQ==,,,,,,8,Tanker,Underway using Engine,
41.993984,-166.1254,198,72,,13,,,,[SAT-AIS],7,TnpnMk1EY3pOemcyTURjek56ZzJNQT09LVBFSlgyWk1DRWdUL2RqeHY1YkhNbkE9PQ==,,,,,,7,Cargo Vessel,Underway using Engine,
45.318455,-162.99684,91,237,,13,,,,[SAT-AIS],7,TnpJMk9UVTBOekkyT1RVME56STJPUT09LVV0UXFjWXgrWi85WU15UWt6Zmc1M0E9PQ==,,,,,,7,Cargo Vessel,Underway using Engine,
28.64465,-138.56985,162,106,,1145,MX LZC,LR,182,TOKYO CAR,7,756158,31,27,15,12300,122,,,,
27.109118,-133.21223,153,106,,13,,,,[SAT-AIS],7,TnpFMU9UY3pOekUxT1Rjek56RTFPUT09LTN3MS92U1BYQkgyVG9DYkVXaERFcVE9PQ==,,,,,,7,Cargo Vessel,Underway using Engine,
47.794987,-90.328659,,,,1,,--,0,VTS 3669795,0,25966,0,,,,,,,,
17.445049,-178.85658,81,123,,13,,,,[SAT-AIS],2,T1Rrd056QTFPVGt3TnpBMU9Ua3dOdz09LWlzYmxzbFlpTDBDY1p0Q0FMTGVLN1E9PQ==,,,,,,2,Fishing,Default,
33.778355,-161.48773,146,82,,13,,,,[SAT-AIS],7,T1RjeE9EWXlPVGN4T0RZeU9UY3hPQT09LTJoRnl3TXpoemJPOXJYU2VkWmNKeUE9PQ==,,,,,,7,Cargo Vessel,Underway using Engine,
59.477482,-0.69703501,70,212,215,1,FR DON > GB SFW,SG,243,ROSS SEA,8,731674,42,205,27,114542,17,,,,0
39.287922,-59.485695,105,58,,15,,,,[SAT-AIS],8,TmpjMk1UWXlOamMyTVRZeU5qYzJNUT09LW9KUmhXWFpGTkNmc1QxWng4Sjcvd1E9PQ==,,,,,,8,Tanker,Underway using Engine,
41.498455,5.2505116,128,77,76,2,ITGOA,PT,146,JOANNA BORCHARD,7,9274657,27,132,8,17495,11,,,,
-4.7843132,-31.489357,101,24,,14,,,,[SAT-AIS],7,TXpJek56WXlNekl6TnpZeU16SXpOdz09LVpSaWVXMk5tTXgwdTJ2cTJEbXpzdFE9PQ==,,,,,,7,Cargo Vessel,Underway using Engine,
-8.0840864,-6.7302065,191,318,319,8,CAHAL,MT,365,CMA CGM T.ROOSEVELT,7,4992188,48,139,24,148384,11,,,,1
